Generation,City Order,Distance,Fitness
45,[City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(20), City(1), City(6)],417.294314,0.002396390
46,[City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(20), City(1), City(6)],417.294314,0.002396390
47,[City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(20), City(1), City(6)],417.294314,0.002396390
48,[City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(20), City(1), City(6)],417.294314,0.002396390
49,[City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(20), City(1), City(6)],417.294314,0.002396390
50,[City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(20), City(1), City(6)],417.294314,0.002396390
51,[City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],417.294314,0.002396390
52,[City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],417.294314,0.002396390
53,[City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],417.294314,0.002396390
54,[City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],417.294314,0.002396390
55,[City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],417.294314,0.002396390
56,[City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],417.294314,0.002396390
57,[City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],417.294314,0.002396390
58,[City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18)],417.294314,0.002396390
